Date,Species,PollenRecipient,PollenDonor,StartTime,EndTime,Style,StyleLength_um,LowPollen,PollenTubeLength_um
5_24_23,M82,8,17,1042,1650,3,5256.031,FALSE,3893.025
5_24_23,M82,8,17,1042,1650,3,5256.031,FALSE,4352.732
5_24_23,M82,8,17,1042,1650,3,5256.031,FALSE,4007.811
5_24_23,M82,8,17,1042,1650,3,5256.031,FALSE,3785.533
5_24_23,M82,8,17,1042,1650,3,5256.031,FALSE,3634.119
5_24_23,M82,8,17,1042,1648,2,4797.243,FALSE,3193.467
5_24_23,M82,8,17,1042,1648,2,4797.243,FALSE,2834.628
5_24_23,M82,8,17,1042,1648,2,4797.243,FALSE,2309.517
5_24_23,M82,8,17,1042,1648,2,4797.243,FALSE,2294.806
5_24_23,M82,8,17,1042,1648,2,4797.243,FALSE,2070.323
5_24_23,M82,8,17,1039,1647,1,4986.165,FALSE,3333.079
5_24_23,M82,8,17,1039,1647,1,4986.165,FALSE,2851.72
5_24_23,M82,8,17,1039,1647,1,4986.165,FALSE,2629.918
5_24_23,M82,8,17,1039,1647,1,4986.165,FALSE,2614.014
5_24_23,M82,8,17,1039,1647,1,4986.165,FALSE,2620.627
5_24_23,M82,8,13,1028,1645,2,5047.223,FALSE,2189.952
5_24_23,M82,8,13,1028,1645,2,5047.223,FALSE,2029.536
5_24_23,M82,8,13,1028,1645,2,5047.223,FALSE,1940.445
5_24_23,M82,8,13,1028,1645,2,5047.223,FALSE,1883.933
5_24_23,M82,8,13,1028,1645,2,5047.223,FALSE,1827.36
5_24_23,M82,8,13,1028,1643,1,5765.731,FALSE,2141.343
5_24_23,M82,8,13,1028,1643,1,5765.731,FALSE,2020.518
5_24_23,M82,8,13,1028,1643,1,5765.731,FALSE,1953.177
5_24_23,M82,8,13,1028,1643,1,5765.731,FALSE,1812.835
5_24_23,M82,8,13,1028,1643,1,5765.731,FALSE,1726.058
5_24_23,M82,8,9,1013,1639,1,4450.066,FALSE,2484.642
5_24_23,M82,8,9,1013,1639,1,4450.066,FALSE,2090.531
5_24_23,M82,8,9,1013,1639,1,4450.066,FALSE,2019.116
5_24_23,M82,8,9,1013,1639,1,4450.066,FALSE,2102.95
5_24_23,M82,8,9,1013,1639,1,4450.066,FALSE,1902.898
5_24_23,M82,4,17,1053,1655,1,4989.85,FALSE,3060.186
5_24_23,M82,4,17,1053,1655,1,4989.85,FALSE,2971.822
5_24_23,M82,4,17,1053,1655,1,4989.85,FALSE,2829.582
5_24_23,M82,4,17,1053,1655,1,4989.85,FALSE,2737.875
5_24_23,M82,4,17,1053,1655,1,4989.85,FALSE,2784.446
5_24_23,M82,3,17,1055,1659,1,4234.97,TRUE,1182.986
5_24_23,M82,3,17,1055,1659,1,4234.97,TRUE,1230.075
5_24_23,M82,3,17,1055,1659,1,4234.97,TRUE,940.443
5_24_23,M82,3,17,1055,1659,1,4234.97,TRUE,358.195
5_24_23,M82,3,17,1055,1659,1,4234.97,TRUE,185.959
