Test,AccessionNum,IndividualNum,Plate Location,ImageUsed,NumHealthyPollen,NumGerminated,NumBurstPollenTubes,UnhealthyPollenScore,PollenSampleGridNumber,umPollenDiameter,umPollenTubeLength
PGAssay23_5_16A,716,1,B4,1,32,28,14,2,81,31.75,145.09
PGAssay23_5_16A,716,1,B4,1,32,28,14,2,24,31.75,155.3
PGAssay23_5_16A,716,1,B4,1,32,28,14,2,87,28.44,131.98
PGAssay23_5_16A,716,1,B4,1,32,28,14,2,33,31.53,123.18
PGAssay23_5_16A,716,1,B4,1,32,28,14,2,12,28.26,142.89
PGAssay23_5_16A,716,1,B4,1,32,28,14,2,43,27.86,152.81
PGAssay23_5_16A,716,1,B4,1,32,28,14,2,29,25.58,149.87
PGAssay23_5_16A,716,1,B4,1,32,28,14,2,45,27.18,110.52
PGAssay23_5_16A,716,1,B4,1,32,28,14,2,76,32.48,49.19
PGAssay23_5_16A,716,1,B4,1,32,28,14,2,16,30.04,143.47
PGAssay23_5_16A,716,3,C5,3,21,17,4,4,81,26.49,35.95
PGAssay23_5_16A,716,3,C5,3,21,17,4,4,24,26.17,42.7
PGAssay23_5_16A,716,3,C5,3,21,17,4,4,87,23.9,69.02
PGAssay23_5_16A,716,3,C5,3,21,17,4,4,33,30.09,37.66
PGAssay23_5_16A,716,3,C5,3,21,17,4,4,12,30.48,61.85
PGAssay23_5_16A,716,3,C5,3,21,17,4,4,43,25.43,92.8
PGAssay23_5_16A,716,3,C5,3,21,17,4,4,29,31.17,62.01
PGAssay23_5_16A,716,3,C5,3,21,17,4,4,45,23.28,14.32
PGAssay23_5_16A,716,3,C5,3,21,17,4,4,76,28.87,55.91
PGAssay23_5_16A,716,3,C5,3,21,17,4,4,16,28.72,41.77
PGAssay23_5_16A,716,12,C3,1,33,31,9,2,81,29.32,33.64
PGAssay23_5_16A,716,12,C3,1,33,31,9,2,24,33.28,107.28
PGAssay23_5_16A,716,12,C3,1,33,31,9,2,87,27.32,96.04
PGAssay23_5_16A,716,12,C3,1,33,31,9,2,33,30.81,141.7
PGAssay23_5_16A,716,12,C3,1,33,31,9,2,12,27.22,166.57
PGAssay23_5_16A,716,12,C3,1,33,31,9,2,43,34.34,126.62
PGAssay23_5_16A,716,12,C3,1,33,31,9,2,29,27.52,229.77
PGAssay23_5_16A,716,12,C3,1,33,31,9,2,45,26.17,144.5
PGAssay23_5_16A,716,12,C3,1,33,31,9,2,76,24.29,135.11
PGAssay23_5_16A,716,12,C3,1,33,31,9,2,16,26.47,162.35
PGAssay23_5_16A,716,17,C2,4,47,45,16,3,81,27.52,77
PGAssay23_5_16A,716,17,C2,4,47,45,16,3,24,26.97,154.56
PGAssay23_5_16A,716,17,C2,4,47,45,16,3,87,25.71,9.36
PGAssay23_5_16A,716,17,C2,4,47,45,16,3,33,22.43,156.77
PGAssay23_5_16A,716,17,C2,4,47,45,16,3,12,26.66,77.02
PGAssay23_5_16A,716,17,C2,4,47,45,16,3,43,26.97,117.76
PGAssay23_5_16A,716,17,C2,4,47,45,16,3,29,22.95,91.19
PGAssay23_5_16A,716,17,C2,4,47,45,16,3,45,26.11,113.85
PGAssay23_5_16A,716,17,C2,4,47,45,16,3,76,28.8,64.75
PGAssay23_5_16A,716,17,C2,4,47,45,16,3,16,29.87,90.19
PGAssay23_5_16A,716,19,B2,1,42,41,18,2,81,27.49,166.31
PGAssay23_5_16A,716,19,B2,1,42,41,18,2,24,27.2,208.67
PGAssay23_5_16A,716,19,B2,1,42,41,18,2,87,25.43,100.73
PGAssay23_5_16A,716,19,B2,1,42,41,18,2,33,27.69,141.83
PGAssay23_5_16A,716,19,B2,1,42,41,18,2,12,28.28,58.74
PGAssay23_5_16A,716,19,B2,1,42,41,18,2,43,32.21,122.55
PGAssay23_5_16A,716,19,B2,1,42,41,18,2,29,30.04,149.35
PGAssay23_5_16A,716,19,B2,1,42,41,18,2,45,29.27,105.78
PGAssay23_5_16A,716,19,B2,1,42,41,18,2,76,29.55,96.86
PGAssay23_5_16A,716,19,B2,1,42,41,18,2,16,22.95,199.32
PGAssay23_5_16A,M82,9,C4,3,66,60,29,3,81,17.71,384.91
PGAssay23_5_16A,M82,9,C4,3,66,60,29,3,24,21.66,389.26
PGAssay23_5_16A,M82,9,C4,3,66,60,29,3,87,26.91,295.42
PGAssay23_5_16A,M82,9,C4,3,66,60,29,3,33,18.62,289.55
PGAssay23_5_16A,M82,9,C4,3,66,60,29,3,12,23.6,86.91
PGAssay23_5_16A,M82,9,C4,3,66,60,29,3,43,22.52,405.77
PGAssay23_5_16A,M82,9,C4,3,66,60,29,3,29,24.03,273.74
PGAssay23_5_16A,M82,9,C4,3,66,60,29,3,45,24.14,59.21
PGAssay23_5_16A,M82,9,C4,3,66,60,29,3,76,21.37,589.42
PGAssay23_5_16A,M82,9,C4,3,66,60,29,3,16,19.25,421.28
PGAssay23_5_16A,M82,12,B5,2,46,36,8,3,81,19.08,217.95
PGAssay23_5_16A,M82,12,B5,2,46,36,8,3,24,21.89,337.67
PGAssay23_5_16A,M82,12,B5,2,46,36,8,3,87,23.14,55.29
PGAssay23_5_16A,M82,12,B5,2,46,36,8,3,33,17.29,29.24
PGAssay23_5_16A,M82,12,B5,2,46,36,8,3,12,22.95,248.68
PGAssay23_5_16A,M82,12,B5,2,46,36,8,3,43,24.45,256.84
PGAssay23_5_16A,M82,12,B5,2,46,36,8,3,29,22.31,117.14
PGAssay23_5_16A,M82,12,B5,2,46,36,8,3,45,22.03,232.74
PGAssay23_5_16A,M82,12,B5,2,46,36,8,3,76,19.37,641.25
PGAssay23_5_16A,M82,12,B5,2,46,36,8,3,16,24.63,119.13
PGAssay23_5_16A,M82,13,B3,1,71,66,43,4,81,25.48,579.52
PGAssay23_5_16A,M82,13,B3,1,71,66,43,4,24,22.04,457.53
PGAssay23_5_16A,M82,13,B3,1,71,66,43,4,87,27.01,41.07
PGAssay23_5_16A,M82,13,B3,1,71,66,43,4,33,23.08,148.31
PGAssay23_5_16A,M82,13,B3,1,71,66,43,4,12,20.71,461.53
PGAssay23_5_16A,M82,13,B3,1,71,66,43,4,43,20.64,438.39
PGAssay23_5_16A,M82,13,B3,1,71,66,43,4,29,21.54,373.04
PGAssay23_5_16A,M82,13,B3,1,71,66,43,4,45,21.39,175.3
PGAssay23_5_16A,M82,13,B3,1,71,66,43,4,76,19.96,559.6
PGAssay23_5_16A,M82,13,B3,1,71,66,43,4,16,23.53,266.01
PGAssay23_5_16A,M82,14,C6,4,35,26,12,4,81,18.48,219.36
PGAssay23_5_16A,M82,14,C6,4,35,26,12,4,24,25.2,67.62
PGAssay23_5_16A,M82,14,C6,4,35,26,12,4,87,15.78,89.3
PGAssay23_5_16A,M82,14,C6,4,35,26,12,4,33,25.04,140.32
PGAssay23_5_16A,M82,14,C6,4,35,26,12,4,12,21.72,348.7
PGAssay23_5_16A,M82,14,C6,4,35,26,12,4,43,23.96,103.54
PGAssay23_5_16A,M82,14,C6,4,35,26,12,4,29,21.87,86.18
PGAssay23_5_16A,M82,14,C6,4,35,26,12,4,45,21.12,171.05
PGAssay23_5_16A,M82,14,C6,4,35,26,12,4,76,25.02,71.5
PGAssay23_5_16A,M82,14,C6,4,35,26,12,4,16,24.81,333.01
PGAssay23_5_16A,M82,17,B1,3,46,34,13,2,81,22.04,29.93
PGAssay23_5_16A,M82,17,B1,3,46,34,13,2,24,24.08,58.16
PGAssay23_5_16A,M82,17,B1,3,46,34,13,2,87,23.7,28.99
PGAssay23_5_16A,M82,17,B1,3,46,34,13,2,33,21.33,6.88
PGAssay23_5_16A,M82,17,B1,3,46,34,13,2,12,21.37,261.31
PGAssay23_5_16A,M82,17,B1,3,46,34,13,2,43,21,128.37
PGAssay23_5_16A,M82,17,B1,3,46,34,13,2,29,25.23,323.79
PGAssay23_5_16A,M82,17,B1,3,46,34,13,2,45,26.26,184.23
PGAssay23_5_16A,M82,17,B1,3,46,34,13,2,76,24.48,181.09
PGAssay23_5_16A,M82,17,B1,3,46,34,13,2,16,23.76,264
PGAssay23_5_16B,716,1,B2,1,44,43,19,1,81,25.86,92.44
PGAssay23_5_16B,716,1,B2,1,44,43,19,1,24,28.83,132.26
PGAssay23_5_16B,716,1,B2,1,44,43,19,1,87,29.48,137.06
PGAssay23_5_16B,716,1,B2,1,44,43,19,1,33,28.92,150.36
PGAssay23_5_16B,716,1,B2,1,44,43,19,1,12,27.87,62.84
PGAssay23_5_16B,716,1,B2,1,44,43,19,1,43,29.24,87.99
PGAssay23_5_16B,716,1,B2,1,44,43,19,1,29,28,126.5
PGAssay23_5_16B,716,1,B2,1,44,43,19,1,45,28.47,159
PGAssay23_5_16B,716,1,B2,1,44,43,19,1,76,30.86,59.52
PGAssay23_5_16B,716,1,B2,1,44,43,19,1,16,29,110.48
PGAssay23_5_16B,716,3,B1,4,30,23,14,4,81,25.12,137.84
PGAssay23_5_16B,716,3,B1,4,30,23,14,4,24,26.84,194.79
PGAssay23_5_16B,716,3,B1,4,30,23,14,4,87,30.43,33.81
PGAssay23_5_16B,716,3,B1,4,30,23,14,4,33,27.46,49.99
PGAssay23_5_16B,716,3,B1,4,30,23,14,4,12,24.33,8.6
PGAssay23_5_16B,716,3,B1,4,30,23,14,4,43,27.58,40.77
PGAssay23_5_16B,716,3,B1,4,30,23,14,4,29,26.97,27.4
PGAssay23_5_16B,716,3,B1,4,30,23,14,4,45,30.31,35.1
PGAssay23_5_16B,716,3,B1,4,30,23,14,4,76,29.39,21.99
PGAssay23_5_16B,716,12,C4,4,32,32,10,2,12,27.8,162.34
PGAssay23_5_16B,716,12,C4,4,32,32,10,2,16,26.57,159.84
